id,name,downhill_skiing,nordic_skiing,opening_date,opening_confirmed,closing_date,snowreports,date,updated,status_id,status_open,status_text,lifts_open,lifts_total,runs_open,runs_total,km_open,km_total,snowdepth_min,snowdepth_max,snow_quality,green_runs_open,green_runs_total,blue_runs_open,blue_runs_total,red_runs_open,red_runs_total,black_runs_open,black_runs_total,special_runs,avalanche_risk,avalanche_risk_text,comment,extended_elements,snowpark,special_runs_text,special_runs_open,special_runs_total,trineos,esqui_de_fondo
22001,Alp 2500,1,0,02/12/2022,1,10/04/2023,"{'date': '2023-01-20', 'updated': '2023-01-20 11:24:09', 'status_id': '1', 'status_open': '1', 'status_text': 'Abierta', 'lifts_open': '12', 'lifts_total': '33', 'runs_open': '41', 'runs_total': '138', 'km_open': '40', 'km_total': '145', 'snowdepth_min': '40', 'snowdepth_max': '75', 'snow_quality': 'Polvo', 'green_runs_open': '19', 'green_runs_total': '29', 'blue_runs_open': '17', 'blue_runs_total': '49', 'red_runs_open': '5', 'red_runs_total': '44', 'black_runs_open': '-', 'black_runs_total': '16', 'special_runs': 0, 'avalanche_risk': '0', 'avalanche_risk_text': 'Sin Riesgo', 'comment': 'Apertura parcial debida a condiciones meteorológicas adversas. Los datos de apertura podrían variar a lo largo del día en función de la evolución de las condiciones.', 'extended_elements': [{'group_name': 'Dominio', 'group_items': [{'element_name': 'Conexión Alp2500', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': '31'}]}]}",2023-01-20,2023-01-20 11:24:09,1,1,Abierta,12,33,41,138,40,145,40,75,Polvo,19,29,17,49,5,44,-,16,0,0,Sin Riesgo,Apertura parcial debida a condiciones meteorológicas adversas. Los datos de apertura podrían variar a lo largo del día en función de la evolución de las condiciones.,"[{'group_name': 'Dominio', 'group_items': [{'element_name': 'Conexión Alp2500', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': '31'}]}]",0,,,,,
20,La Molina,1,0,03/12/2022,1,10/04/2023,"{'date': '2023-01-20', 'updated': '2023-01-20 11:24:09', 'status_id': '1', 'status_open': '1', 'status_text': 'Abierta', 'lifts_open': '5', 'lifts_total': '16', 'runs_open': '13', 'runs_total': '66', 'km_open': '7', 'km_total': '71', 'snowdepth_min': '40', 'snowdepth_max': '65', 'snow_quality': 'Polvo', 'green_runs_open': '12', 'green_runs_total': '20', 'blue_runs_open': '1', 'blue_runs_total': '18', 'red_runs_open': '-', 'red_runs_total': '22', 'black_runs_open': '-', 'black_runs_total': '6', 'special_runs': 0, 'avalanche_risk': '0', 'avalanche_risk_text': 'Sin Riesgo', 'comment': 'Apertura parcial debida a condiciones meteorológicas adversas. Los datos de apertura podrían variar a lo largo del día en función de la evolución de las condiciones.', 'extended_elements': [{'group_name': 'Actividades', 'group_items': [{'element_name': 'Snowpark', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': 30}, {'element_name': 'Itinerarios de Skimo', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': 67}, {'element_name': 'Raquetas', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': 33}, {'element_name': 'Trineos', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': 32}]}, {'group_name': 'Dominio', 'group_items': [{'element_name': 'Conexión Alp2500', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': '31'}]}]}",2023-01-20,2023-01-20 11:24:09,1,1,Abierta,5,16,13,66,7,71,40,65,Polvo,12,20,1,18,-,22,-,6,0,0,Sin Riesgo,Apertura parcial debida a condiciones meteorológicas adversas. Los datos de apertura podrían variar a lo largo del día en función de la evolución de las condiciones.,"[{'group_name': 'Actividades', 'group_items': [{'element_name': 'Snowpark', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': 30}, {'element_name': 'Itinerarios de Skimo', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': 67}, {'element_name': 'Raquetas', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': 33}, {'element_name': 'Trineos', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': 32}]}, {'group_name': 'Dominio', 'group_items': [{'element_name': 'Conexión Alp2500', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': '31'}]}]",1,,,,,
19,Masella,1,0,02/12/2022,1,10/04/2023,"{'date': '2023-01-20', 'updated': '2023-01-20 11:24:09', 'status_id': '1', 'status_open': '1', 'status_text': 'Abierta', 'lifts_open': '7', 'lifts_total': '17', 'runs_open': '28', 'runs_total': '72', 'km_open': '33', 'km_total': '74', 'snowdepth_min': '40', 'snowdepth_max': '75', 'snow_quality': 'Polvo', 'green_runs_open': '7', 'green_runs_total': '9', 'blue_runs_open': '16', 'blue_runs_total': '31', 'red_runs_open': '5', 'red_runs_total': '22', 'black_runs_open': '-', 'black_runs_total': '10', 'special_runs': 0, 'avalanche_risk': '-1', 'avalanche_risk_text': 'sin información', 'comment': 'Apertura parcial debida a condiciones meteorológicas adversas. Los datos de apertura podrían variar a lo largo del día en función de la evolución de las condiciones.', 'extended_elements': [{'group_name': 'Dominio', 'group_items': [{'element_name': 'Conexión Alp2500', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': '31'}]}]}",2023-01-20,2023-01-20 11:24:09,1,1,Abierta,7,17,28,72,33,74,40,75,Polvo,7,9,16,31,5,22,-,10,0,-1,sin información,Apertura parcial debida a condiciones meteorológicas adversas. Los datos de apertura podrían variar a lo largo del día en función de la evolución de las condiciones.,"[{'group_name': 'Dominio', 'group_items': [{'element_name': 'Conexión Alp2500', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': '31'}]}]",0,,,,,
16,Baqueira Beret,1,0,26/11/2022,1,10/04/2023,"{'date': '2023-01-20', 'updated': '2023-01-20 11:24:09', 'status_id': '1', 'status_open': '1', 'status_text': 'Abierta', 'lifts_open': '27', 'lifts_total': '36', 'runs_open': '56', 'runs_total': '116', 'km_open': '100', 'km_total': '170', 'snowdepth_min': '90', 'snowdepth_max': '130', 'snow_quality': 'Polvo', 'green_runs_open': '5', 'green_runs_total': '5', 'blue_runs_open': '28', 'blue_runs_total': '43', 'red_runs_open': '20', 'red_runs_total': '48', 'black_runs_open': '3', 'black_runs_total': '17', 'special_runs': 1, 'special_runs_text': 'Itinerarios', 'special_runs_open': '-', 'special_runs_total': '3', 'avalanche_risk': '4', 'avalanche_risk_text': 'Fuerte', 'comment': 'Previsión de condiciones meteorológicas adversas. Los datos de apertura podrían verse condicionados en función de la evolución de las condiciones meteorológicas.', 'extended_elements': [{'group_name': 'Actividades', 'group_items': [{'element_name': 'Snowpark', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': 30}, {'element_name': 'Esquí de fondo', 'element_status_id': '2', 'element_status_text': 'Previsión apertura', 'element_icon': 29}]}, {'group_name': 'Sectores', 'group_items': [{'element_name': 'Baqueira', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': '56'}, {'element_name': 'Beret', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': '56'}, {'element_name': 'Bonaigua', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': '56'}, {'element_name': 'Baciver', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': '56'}]}]}",2023-01-20,2023-01-20 11:24:09,1,1,Abierta,27,36,56,116,100,170,90,130,Polvo,5,5,28,43,20,48,3,17,1,4,Fuerte,Previsión de condiciones meteorológicas adversas. Los datos de apertura podrían verse condicionados en función de la evolución de las condiciones meteorológicas.,"[{'group_name': 'Actividades', 'group_items': [{'element_name': 'Snowpark', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': 30}, {'element_name': 'Esquí de fondo', 'element_status_id': '2', 'element_status_text': 'Previsión apertura', 'element_icon': 29}]}, {'group_name': 'Sectores', 'group_items': [{'element_name': 'Baqueira', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': '56'}, {'element_name': 'Beret', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': '56'}, {'element_name': 'Bonaigua', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': '56'}, {'element_name': 'Baciver', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': '56'}]}]",1,Itinerarios,-,3,,
17,Boí Taüll,1,0,02/12/2022,1,10/04/2023,"{'date': '2023-01-20', 'updated': '2023-01-20 13:04:44', 'status_id': '1', 'status_open': '1', 'status_text': 'Abierta', 'lifts_open': '4', 'lifts_total': '10', 'runs_open': '7', 'runs_total': '43', 'km_open': '8', 'km_total': '46', 'snowdepth_min': '65', 'snowdepth_max': '130', 'snow_quality': 'Polvo', 'green_runs_open': '5', 'green_runs_total': '6', 'blue_runs_open': '1', 'blue_runs_total': '6', 'red_runs_open': '1', 'red_runs_total': '15', 'black_runs_open': '-', 'black_runs_total': '16', 'special_runs': 0, 'avalanche_risk': '3', 'avalanche_risk_text': 'Notable', 'comment': 'Apertura parcial debida a condiciones meteorológicas adversas. Los datos de apertura podrían variar a lo largo del día en función de la evolución de las condiciones.', 'extended_elements': [{'group_name': 'Actividades', 'group_items': [{'element_name': 'Snowpark', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': 30}, {'element_name': 'Itinerarios de Skimo', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': 67}, {'element_name': 'Trineos', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': 32}]}]}",2023-01-20,2023-01-20 13:04:44,1,1,Abierta,4,10,7,43,8,46,65,130,Polvo,5,6,1,6,1,15,-,16,0,3,Notable,Apertura parcial debida a condiciones meteorológicas adversas. Los datos de apertura podrían variar a lo largo del día en función de la evolución de las condiciones.,"[{'group_name': 'Actividades', 'group_items': [{'element_name': 'Snowpark', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': 30}, {'element_name': 'Itinerarios de Skimo', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': 67}, {'element_name': 'Trineos', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': 32}]}]",1,,,,,
18,Espot,1,0,02/12/2022,1,31/03/2023,"{'date': '2023-01-20', 'updated': '2023-01-20 08:49:02', 'status_id': '1', 'status_open': '1', 'status_text': 'Abierta', 'lifts_open': '4', 'lifts_total': '5', 'runs_open': '7', 'runs_total': '22', 'km_open': '7', 'km_total': '25', 'snowdepth_min': '60', 'snowdepth_max': '95', 'snow_quality': 'Dura', 'green_runs_open': '2', 'green_runs_total': '2', 'blue_runs_open': '4', 'blue_runs_total': '10', 'red_runs_open': '1', 'red_runs_total': '6', 'black_runs_open': '-', 'black_runs_total': '4', 'special_runs': 0, 'avalanche_risk': '4', 'avalanche_risk_text': 'Fuerte', 'comment': 'Apertura parcial debida a condiciones meteorológicas adversas. Los datos de apertura podrían variar a lo largo del día en función de la evolución de las condiciones.', 'extended_elements': [{'group_name': 'Actividades', 'group_items': [{'element_name': 'Itinerarios de Skimo', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': 67}, {'element_name': 'Raquetas', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': 33, 'element_num_open': '2', 'element_num_total': '3', 'element_num_text': 'itinerarios', 'element_km_open': '4.3', 'element_km_total': '5.2'}, {'element_name': 'Trineos', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': 32}]}]}",2023-01-20,2023-01-20 08:49:02,1,1,Abierta,4,5,7,22,7,25,60,95,Dura,2,2,4,10,1,6,-,4,0,4,Fuerte,Apertura parcial debida a condiciones meteorológicas adversas. Los datos de apertura podrían variar a lo largo del día en función de la evolución de las condiciones.,"[{'group_name': 'Actividades', 'group_items': [{'element_name': 'Itinerarios de Skimo', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': 67}, {'element_name': 'Raquetas', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': 33, 'element_num_open': '2', 'element_num_total': '3', 'element_num_text': 'itinerarios', 'element_km_open': '4.3', 'element_km_total': '5.2'}, {'element_name': 'Trineos', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': 32}]}]",0,,,,,
21,Port Ainé,1,0,02/12/2022,1,10/04/2023,"{'date': '2023-01-20', 'updated': '2023-01-20 11:24:09', 'status_id': '1', 'status_open': '1', 'status_text': 'Abierta', 'lifts_open': '5', 'lifts_total': '7', 'runs_open': '6', 'runs_total': '25', 'km_open': '7', 'km_total': '27', 'snowdepth_min': '45', 'snowdepth_max': '75', 'snow_quality': 'Polvo', 'green_runs_open': '4', 'green_runs_total': '6', 'blue_runs_open': '-', 'blue_runs_total': '4', 'red_runs_open': '1', 'red_runs_total': '11', 'black_runs_open': '1', 'black_runs_total': '4', 'special_runs': 0, 'avalanche_risk': '2', 'avalanche_risk_text': 'Limitado', 'comment': 'Apertura parcial debida a condiciones meteorológicas adversas. Los datos de apertura podrían variar a lo largo del día en función de la evolución de las condiciones.', 'extended_elements': [{'group_name': 'Actividades', 'group_items': [{'element_name': 'Snowpark', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': 30}, {'element_name': 'Itinerarios de Skimo', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': 67, 'element_num_open': '4', 'element_num_total': '4', 'element_num_text': 'itinerarios', 'element_km_open': '9.66', 'element_km_total': '9.66'}, {'element_name': 'Raquetas', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': 33, 'element_num_open': '2', 'element_num_total': '3', 'element_num_text': 'itinerarios', 'element_km_open': '8.64', 'element_km_total': '18.01'}, {'element_name': 'Trineos', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': 32}]}]}",2023-01-20,2023-01-20 11:24:09,1,1,Abierta,5,7,6,25,7,27,45,75,Polvo,4,6,-,4,1,11,1,4,0,2,Limitado,Apertura parcial debida a condiciones meteorológicas adversas. Los datos de apertura podrían variar a lo largo del día en función de la evolución de las condiciones.,"[{'group_name': 'Actividades', 'group_items': [{'element_name': 'Snowpark', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': 30}, {'element_name': 'Itinerarios de Skimo', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': 67, 'element_num_open': '4', 'element_num_total': '4', 'element_num_text': 'itinerarios', 'element_km_open': '9.66', 'element_km_total': '9.66'}, {'element_name': 'Raquetas', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': 33, 'element_num_open': '2', 'element_num_total': '3', 'element_num_text': 'itinerarios', 'element_km_open': '8.64', 'element_km_total': '18.01'}, {'element_name': 'Trineos', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': 32}]}]",1,,,,,
22,Port del Comte,1,0,03/12/2022,1,10/03/2023,"{'date': '2023-01-20', 'updated': '2023-01-20 08:49:02', 'status_id': '1', 'status_open': '1', 'status_text': 'Abierta', 'lifts_open': '6', 'lifts_total': '17', 'runs_open': '13', 'runs_total': '39', 'km_open': '15', 'km_total': '50', 'snowdepth_min': '20', 'snowdepth_max': '40', 'snow_quality': 'Polvo', 'green_runs_open': '5', 'green_runs_total': '8', 'blue_runs_open': '4', 'blue_runs_total': '13', 'red_runs_open': '4', 'red_runs_total': '12', 'black_runs_open': '-', 'black_runs_total': '6', 'special_runs': 0, 'avalanche_risk': '-1', 'avalanche_risk_text': 'sin información', 'comment': 'Previsión de condiciones meteorológicas adversas. Los datos de apertura podrían verse condicionados en función de la evolución de las condiciones meteorológicas.', 'extended_elements': [{'group_name': 'Sectores', 'group_items': [{'element_name': 'Donadó', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': '56'}, {'element_name': 'Sucre', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': '56'}, {'element_name': 'Estivella', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': '56'}]}]}",2023-01-20,2023-01-20 08:49:02,1,1,Abierta,6,17,13,39,15,50,20,40,Polvo,5,8,4,13,4,12,-,6,0,-1,sin información,Previsión de condiciones meteorológicas adversas. Los datos de apertura podrían verse condicionados en función de la evolución de las condiciones meteorológicas.,"[{'group_name': 'Sectores', 'group_items': [{'element_name': 'Donadó', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': '56'}, {'element_name': 'Sucre', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': '56'}, {'element_name': 'Estivella', 'element_status_id': '0', 'element_status_text': 'Cerrado', 'element_icon': '56'}]}]",0,,,,,
2412,Tavascán,1,0,07/12/2022,1,09/04/2023,"{'date': '2023-01-20', 'updated': '2023-01-20 09:27:56', 'status_id': '4', 'status_open': '0', 'status_text': 'Cerrada Meteo', 'lifts_open': '-', 'lifts_total': '3', 'runs_open': '-', 'runs_total': '7', 'km_open': '-', 'km_total': '7', 'snowdepth_min': '70', 'snowdepth_max': '100', 'snow_quality': 'Polvo', 'green_runs_open': '-', 'green_runs_total': '2', 'blue_runs_open': '-', 'blue_runs_total': '1', 'red_runs_open': '-', 'red_runs_total': '2', 'black_runs_open': '-', 'black_runs_total': '2', 'special_runs': 0, 'avalanche_risk': '3', 'avalanche_risk_text': 'Notable', 'comment': 'Estación cerrada hoy debido a condiciones meteorológicas adversas. Previsión de apertura en función de la evolución de las condiciones.'}",2023-01-20,2023-01-20 09:27:56,4,0,Cerrada Meteo,-,3,-,7,-,7,70,100,Polvo,-,2,-,1,-,2,-,2,0,3,Notable,Estación cerrada hoy debido a condiciones meteorológicas adversas. Previsión de apertura en función de la evolución de las condiciones.,,0,,,,,
23,Vall de Nuria,1,0,03/12/2022,1,09/04/2023,"{'date': '2023-01-20', 'updated': '2023-01-20 08:49:02', 'status_id': '1', 'status_open': '1', 'status_text': 'Abierta', 'lifts_open': '3', 'lifts_total': '7', 'runs_open': '3', 'runs_total': '11', 'km_open': '1', 'km_total': '8', 'snowdepth_min': '30', 'snowdepth_max': '50', 'snow_quality': 'Polvo/Dura', 'green_runs_open': '3', 'green_runs_total': '3', 'blue_runs_open': '-', 'blue_runs_total': '3', 'red_runs_open': '-', 'red_runs_total': '3', 'black_runs_open': '-', 'black_runs_total': '2', 'special_runs': 0, 'avalanche_risk': '0', 'avalanche_risk_text': 'Sin Riesgo', 'comment': 'Apertura parcial debida a condiciones meteorológicas adversas. Los datos de apertura podrían variar a lo largo del día en función de la evolución de las condiciones.', 'extended_elements': [{'group_name': 'Actividades', 'group_items': [{'element_name': 'Itinerarios de Skimo', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': 67, 'element_num_open': '1', 'element_num_total': '2', 'element_num_text': 'itinerarios', 'element_km_open': '1.85', 'element_km_total': '2.98'}, {'element_name': 'Raquetas', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': 33, 'element_num_open': '3', 'element_num_total': '7', 'element_num_text': 'itinerarios', 'element_km_open': '7.65', 'element_km_total': '11.84'}, {'element_name': 'Trineos', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': 32}]}]}",2023-01-20,2023-01-20 08:49:02,1,1,Abierta,3,7,3,11,1,8,30,50,Polvo/Dura,3,3,-,3,-,3,-,2,0,0,Sin Riesgo,Apertura parcial debida a condiciones meteorológicas adversas. Los datos de apertura podrían variar a lo largo del día en función de la evolución de las condiciones.,"[{'group_name': 'Actividades', 'group_items': [{'element_name': 'Itinerarios de Skimo', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': 67, 'element_num_open': '1', 'element_num_total': '2', 'element_num_text': 'itinerarios', 'element_km_open': '1.85', 'element_km_total': '2.98'}, {'element_name': 'Raquetas', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': 33, 'element_num_open': '3', 'element_num_total': '7', 'element_num_text': 'itinerarios', 'element_km_open': '7.65', 'element_km_total': '11.84'}, {'element_name': 'Trineos', 'element_status_id': '1', 'element_status_text': 'Abierto', 'element_icon': 32}]}]",0,,,,,
