id,name,downhill_skiing,nordic_skiing,status_id,lifts_total,runs_total,km_total,green_runs_total,blue_runs_total,red_runs_total,black_runs_total,special_runs,snowpark,special_runs_total,trineos,esqui_de_fondo
22001,Alp 2500,1,0,1,33,145,145.0,29,49,44,16,0,0,0,0,0
20,La Molina,1,0,1,16,71,71.0,20,18,22,6,0,1,0,1,0
19,Masella,1,0,1,17,74,74.0,9,31,22,10,0,0,0,0,0
16,Baqueira Beret,1,0,1,36,170,170.0,5,43,48,17,1,1,3,0,1
17,Boí Taüll,1,0,1,10,46,46.0,6,6,15,16,0,1,0,1,0
18,Espot,1,0,1,5,25,25.0,2,10,6,4,0,0,0,1,0
21,Port Ainé,1,0,1,7,27,27.0,6,4,11,4,0,1,0,1,0
22,Port del Comte,1,0,1,17,50,50.0,8,13,12,6,0,0,0,0,0
2412,Tavascán,1,0,4,3,7,7.0,2,1,2,2,0,0,0,0,0
23,Vall de Nuria,1,0,1,7,8,8.0,3,3,3,2,0,0,0,1,0
24,Vallter,1,0,4,10,13,13.0,3,4,6,0,0,0,0,1,0
22003,100K Astún - Candanchú,1,0,1,37,100,100.5,17,32,40,19,1,0,10,0,0
7,Astún,1,0,1,15,50,50.0,5,18,22,6,1,1,10,1,0
8,Candanchú,1,0,1,22,50,50.5,12,14,18,13,0,0,0,1,0
9,Cerler,1,0,4,20,80,80.0,10,19,27,16,1,1,1,0,0
22002,Formigal - Panticosa,1,0,1,37,182,182.0,12,36,52,42,1,0,5,0,0
10,Formigal,1,0,1,22,143,143.0,6,20,35,37,1,1,4,0,0
11,Panticosa,1,0,1,15,39,39.0,6,16,17,5,1,0,1,0,0
15,Alto Campoo,1,0,1,12,30,30.38,4,10,9,0,0,1,0,0,0
5448,Fuentes de Invierno,1,0,2,5,8,8.76,3,3,6,3,0,0,0,0,0
25,Manzaneda,1,0,2,6,16,16.75,1,13,8,1,0,0,0,0,0
14,San Isidro,1,0,6,15,31,31.1,6,8,13,4,1,1,1,0,1
13,Valgrande-Pajares,1,0,6,7,22,22.58,8,12,15,3,0,1,0,0,1
955,Valle Laciana - Leitariegos,1,0,2,8,8,8.4,4,4,6,0,0,1,0,0,0
4685,Javalambre,1,0,6,9,15,15.0,5,9,1,0,1,1,3,1,0
4922,Punto de Nieve Santa Inés,1,0,6,2,1,1.8,1,1,0,0,0,1,0,1,1
12,Valdelinares,1,0,1,12,17,17.0,6,4,4,0,0,1,0,1,0
28,Valdezcaray,1,0,1,10,22,22.35,6,6,10,2,1,0,2,0,0
29,La Pinilla,1,0,1,13,15,15.57,4,6,13,0,0,0,0,0,0
26,Puerto de Navacerrada,1,0,2,6,5,5.1,1,3,4,0,0,0,0,0,0
2379,Sierra de Béjar,1,0,6,4,17,17.66,5,6,8,0,0,0,0,1,0
27,Valdesquí,1,0,2,15,22,22.24,7,16,5,0,0,1,0,0,0
4,Sierra Nevada,1,0,1,21,111,111.4,19,45,53,7,1,1,7,1,1
4601,Grandvalira,1,0,1,74,210,210.0,24,54,42,18,0,1,0,1,0
38,Ordino Arcalís,1,0,4,17,30,30.5,9,7,10,2,0,1,0,1,0
39,Pal Arinsal,1,0,1,32,63,63.0,6,18,17,4,0,1,0,1,0
2824,Ski Canaro,1,0,1,2,0,0.5,2,0,0,0,0,0,0,1,0
1533,Artouste,1,0,6,11,25,25.0,2,12,5,1,0,1,0,1,0
234,Gourette,1,0,1,12,39,39.0,7,11,16,3,0,1,0,1,0
2225,La Pierre Saint-Martin,1,0,1,11,27,27.0,6,12,7,2,0,1,0,1,0
22004,Cauterets,1,0,1,15,40,40.0,4,9,8,2,0,0,0,0,0
1518,Cauterets Cirque du Lys,1,0,1,11,36,36.0,3,8,7,2,0,1,0,1,0
5567,Cauterets Pont d´Espagne,1,0,6,4,4,4.0,1,1,1,0,0,0,0,0,0
1516,Gavarnie-Gèdre,1,0,6,7,32,32.0,5,10,6,4,0,0,0,0,0
236,Grand Tourmalet,1,0,1,28,100,100.0,11,24,14,4,0,1,0,1,0
1520,Hautacam,1,0,6,7,20,20.0,5,5,6,0,0,0,0,0,1
238,Luz Ardiden,1,0,1,9,60,60.0,3,8,13,5,0,1,0,1,0
1334,Peyragudes,1,0,1,18,60,60.0,6,23,17,4,0,1,0,0,0
239,Piau-Engaly,1,0,1,9,65,65.0,5,19,9,7,0,1,0,1,0
240,Saint-Lary,1,0,1,23,100,100.0,7,27,15,11,0,1,0,1,1
1522,Val Louron,1,0,1,10,22,22.0,7,6,8,1,0,0,0,0,0
4322,Bourg d´Oueil,1,0,2,3,5,5.0,1,3,2,1,0,0,0,0,0
3511,Le Mourtis,1,0,6,10,23,23.0,7,7,6,3,0,1,0,1,1
1517,Luchon - Superbagnères,1,0,1,13,32,32.0,2,14,7,6,0,1,0,1,1
1504,Ascou-Pailhères,1,0,1,7,17,17.0,4,5,6,2,0,0,0,0,0
233,Ax 3 Domaines,1,0,1,19,80,80.0,10,12,10,5,0,1,0,0,0
1500,Goulier Neige,1,0,2,5,7,7.0,2,3,2,1,0,0,0,0,0
1499,Guzet,1,0,1,15,40,40.0,7,9,9,4,0,1,0,1,1
1501,Les Monts d´Olmes,1,0,1,11,15,15.0,7,3,8,2,0,1,0,0,0
1502,Mijanès-Donezan,1,0,1,6,12,12.0,4,6,3,2,0,0,0,1,1
3512,Camurac,1,0,6,5,15,15.0,2,5,2,2,0,0,0,0,0
3977,Cambre d´Aze,1,0,1,16,22,22.0,8,5,8,3,0,0,0,0,0
235,Font-Romeu Pyrénées 2000,1,0,1,24,43,43.0,15,10,8,9,0,1,0,1,0
1527,Formiguères,1,0,1,7,25,25.0,4,6,9,2,0,0,0,0,0
1529,La Quillane,1,0,2,4,2,2.5,4,1,0,0,0,0,0,0,0
237,Les Angles,1,0,1,23,55,55.0,14,9,14,8,0,1,0,1,1
1530,Porté-Puymorens,1,0,1,10,50,50.0,12,6,7,8,0,0,0,0,0
1332,Serra da Estrela,1,0,4,4,12,12.0,3,4,11,1,0,1,0,0,0
